instruction,input,reasoning,answer,dataset,task_type
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"After observing several dogs running, students ask the following question: Do dogs with long hair run faster than dogs with short hair? How can the students best answer their question?

Choices:
A. record the weights and heights of many dogs
B. measure the speeds and hair lengths of many dogs
C. research to find the type of dog with the longest hair
D. race one long-haired dog against one short-haired dog",Not provided,measure the speeds and hair lengths of many dogs,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Which factor can increase the amount of sulfur dioxide in the air?

Choices:
A. applying too much fertilizer to agricultural fields
B. operation of coal-fired electric generating plants
C. a hot summer day
D. too much rain",Not provided,operation of coal-fired electric generating plants,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Which statement describes a harmful effect of clearing rainforests for farmland?

Choices:
A. makes more land available for local farmers
B. removes valuable habitat for local species
C. increases local groundwater levels
D. provides income for local residents",Not provided,removes valuable habitat for local species,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"A flowing stream contains water at 18°C. Cans of soft drinks at 28°C are lowered into the stream. Which of the following will most likely occur?

Choices:
A. The soft drink cans will absorb cold energy from the stream's water.
B. The cans will cool until their temperature is the same as the stream's.
C. The temperature of the soft drinks will not change since the cans are sealed.
D. The temperature of the cans will decrease to freezing as long as the stream is flowing.",Not provided,The cans will cool until their temperature is the same as the stream's.,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"In a food pyramid, which best explains why the number of organisms decreases from one trophic level to the next?

Choices:
A. Consumers at the lower level require more energy than the top-level consumers.
B. Consumers at the top level require more energy than the lower-level consumers.
C. The consumers are feeding on larger organisms that have less energy.
D. The consumers are feeding on smaller organisms that have less energy.",Not provided,Consumers at the top level require more energy than the lower-level consumers.,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Students studying membranes conducted an experiment using labeled paper cups filled with varying concentrations of red food coloring. After the experiment, the cups were empty and stained. What should be done with used cups?

Choices:
A. reuse the cups
B. dispose of the cups
C. recycle the cups
D. relabel the cups",Not provided,recycle the cups,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the

Choices:
A. pulley.
B. lever.
C. wedge.
D. screw.",Not provided,lever.,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Cellular respiration results in the production of adenosine triphosphate (ATP) molecules for energy. The most efficient form of cellular respiration would result in the production of ATP along with which substances?

Choices:
A. oxygen and energy
B. glucose and glycogen
C. lactic acid and alcohol
D. carbon dioxide and water",Not provided,carbon dioxide and water,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?

Choices:
A. 1.0 x 10^3
B. 1.0 x 10^4
C. 1.0 x 10^-3
D. 1.0 x 10^-4",Not provided,1.0 x 10^-3,ARC-Challenge,science_reasoning
Read the science question and the answer choices carefully. Reason about the options and provide the correct answer.,"Data in tables may also be presented in graphs. Which type of data would best be displayed on a circle graph?

Choices:
A. the distance of the planets from the sun
B. the depths of the major oceans on Earth
C. the amount of rainfall each day for a month
D. the percent of various materials in solid waste",Not provided,the percent of various materials in solid waste,ARC-Challenge,science_reasoning
